0	3639	1315
1	4177	2244
2	3712	1399
3	3569	1438
4	3757	1187
5	3493	1696
6	3904	1289
7	3488	1535
8	3791	1339
9	3506	1221
10	3374	1750
11	3376	1306
12	3237	1764
13	3326	1556
14	3188	1881
15	3089	1251
16	3258	911
17	3814	261
18	3238	1229
19	3646	234
20	3583	864
21	4172	1125
22	4089	1387
23	4297	1218
24	4020	1142
25	4196	1044
26	4116	1187
27	4095	626
28	4312	790
29	4252	882
30	4403	1022
31	4685	830
32	4386	570
33	4361	73
34	4720	557
35	4643	404
36	4634	654
37	4153	426
38	4784	279
39	2846	1951
40	2831	2099
41	3007	1970
42	3054	1710
43	3086	1516
44	1828	1210
45	2562	1756
46	2716	1924
47	2061	1277
48	2291	1403
49	2751	1559
50	2788	1491
51	2012	1552
52	1779	1626
53	2381	1676
54	682	825
55	1478	267
56	1777	892
57	518	1251
58	278	890
59	1064	284
60	1332	695
61	3715	1678
62	3688	1818
63	4016	1715
64	4181	1574
65	3896	1656
66	4087	1546
67	3929	1892
68	3918	2179
69	4062	2220
70	3751	1945
71	3972	2136
72	4061	2370
73	4207	2533
74	4029	2498
75	4201	2397
76	4139	2615
77	3766	2364
78	3777	2095
79	3780	2212
80	3896	2443
81	3888	2261
82	3594	2900
83	3796	2499
84	3678	2463
85	3676	2578
86	3478	2705
87	3789	2620
88	4029	2838
89	3810	2969
90	3862	2839
91	3928	3029
92	4167	3206
93	4263	2931
94	4186	3037
95	3486	1755
96	3492	1901
97	3322	1916
98	3334	2107
99	3479	2198
100	3429	1908
101	3587	2417
102	3318	2408
103	3176	2150
104	3507	2376
105	3296	2217
106	3229	2367
107	3264	2551
108	3394	2643
109	3402	2912
110	3360	2792
111	3101	2721
112	3402	2510
113	3439	3201
114	3792	3156
115	3468	3018
116	3526	3263
117	3142	3421
118	3356	3212
119	3012	3394
120	3130	2973
121	3044	3081
122	2935	3240
123	2765	3321
124	3140	3550
125	3053	3739
126	2545	2357
127	2769	2492
128	2284	2803
129	2611	2275
130	2348	2652
131	2577	2574
132	2860	2862
133	2778	2826
134	2592	2820
135	2801	2700
136	2126	2896
137	2401	3164
138	2370	2975
139	1890	3033
140	1304	2312
141	1084	2313
142	3538	3298
143	3470	3304
